序号,评论者,评分,内容,时间
1,荒野狷鱼,力荐,看到评论里有人说这是女人被激怒了，还让她们冷静点，实在让人无语。现实中的女人还不够冷静吗？如果凡是女人被骚扰被调戏被羞辱都像电影一样拔枪相向，不知道多少男人横死街头。哪还有你轻飘飘说句“冷静”的机会。电影没有给两位女主活路，本身就是说这样行不通，编导是用这个故事告诉我们，那些不尊重女性的男人多么的可憎，多么该死！如果这都看不明白，不是蠢，便是坏。,2021-06-17 17:25:42
2,我爱面子不爱你,力荐,说实在话，这真是难得一见的几个稍微看得过眼的外国影片的中文译名之一……,2009-09-26 22:52:09
3,阿依达,力荐,你知道有多少女人在被别人欺负。你又要知道有多少女人在独立，在反击。,2010-12-08 16:35:57
4,莫不谷,力荐,希望说出“一个女的如果答应跟一个男的单独吃饭单独看电影，就是答应跟这个男的上床了”这句话的韩寒和持有同样想法的男性可以看看这部电影，它里面的每一发子弹都是射向你们的。她们为什么要逃，以及为什么逃不脱，都是时至今日女性仍然面临的系统性的困境。末路狂花的飞车坠崖，和玉娇龙的纵身一跃，都是被压迫的生命最激烈的反抗和自由的抉择。,2022-01-14 20:27:40
5,carmen,力荐,"枪是阳具的隐喻
只有女人有枪才能完成犯罪
说和女权女性觉醒无关的大概真的没看懂
安塞尔说i just cant live.时我就知道结局
结尾是那样的自由，注定鸟不属于父权的监牢
那个想保护女孩的警长特别像父权制下表现的爱护你但他无法冲破系统禁锢的男性。他认为这些女孩是善良的一切都是被逼的。如果我是导演，我会让她们射杀那个公路卡车司机，而不是惩戒他只是打爆他的车。刻板印象中男性是可能做出这样的事的。女性的善良难道不是一种规训？为什么少有连环变态女杀手的电影，以猎杀男性为乐？",2021-08-18 23:15:24
6,Little Punk,未评分,heaven's drive.最后一刻，我是笑着的，却分明流下了眼泪,2006-11-28 11:42:50
7,七七|烂柯人bot,推荐,最大的败笔是警长啊是警长，她们并不需要来自男性世界貌似大公无私的救赎啊,2010-10-27 12:13:16
8,熊大柚小內內,力荐,请原谅我土鳖了现在才看过这片，但我觉得特别特别好看！！！！！！！！,2010-04-05 04:20:19
9,王神爱,力荐,最后警察包围她们的时候说“任何不服从指令的行为，将视为对我们的挑衅” 这其实也是很多男人对女人的潜意识,2011-09-18 05:10:21
10,宝钗洛克哈特,力荐,在唐山案的第二日看。电影与现实产生了许多互文：女性要如何反抗性暴力才不会使自己受伤？答案是一致的——不可能。要么是杀死对方，自己踏上逃亡的不归路，只能在悬崖一跃，追求最终的自由；要么是被男人残忍击打，倒在暗黑中。只有女性情谊才是这个疯狂世界的唯一救赎。30年过去了，一切都没有改变。,2022-06-11 20:43:24
11,战国客,推荐,“当一个女人说不要的时候，她是真的不愿意！”,2008-07-14 14:55:24
12,米粒,力荐,真好看啊！飞向自由的路上，就是要这么洒脱（虽然结局让我悲伤）。塞尔玛的性格转变很有意思也非常令人感动。最后两个人掏枪太棒了！我的妈呀皮特二十几岁时候的样子真是令人百看不厌。,2013-08-02 04:57:44
13,方青,力荐,"一开始我觉得塞尔玛真牛比，丈夫内样就算了，坚持做纯纯直女结果差点被强奸，死性不改然后打炮被偷钱，毫无歉意死不长性。但在每一个厌女情绪往外蹦的下一刻，塞尔玛就会做出出乎意料的脱轨事件来一次次解决困境，打我的脸。

路易斯是相对理性的，理性的人自认无计可施时会更容易彻底绝望，所以你会发现塞尔玛的眼泪流得很轻易，甚至眼泪没有性欲来的快，但路易斯的眼泪谨慎又沉重，带着德州不可说的重压。

最后握紧的手让人流泪，向油罐车开枪潇洒坏了，抢劫商店不忘抢酒，枪指警察的对话令人发笑后又沉默。公路上的沙和光让人把口红和饰品这些玩意都踏马弃了，峡谷之上的自由谁又能说不是自由，反正女性命运在哪都指向死亡。

男导演拍女性片子怎么着都得整个奔向女性的救赎神父是吧，挺好，帮助观众做同情理解状，然后吃汽车尾气去吧。",2022-03-27 00:41:59
14,白羽,还行,并不象传说中那么好，极端的反抗有点幼稚,2009-04-07 18:40:15
15,shu,力荐,我只在看公路片的时候喜欢车。,2011-02-04 11:38:26
