序号,评论者,评分,内容,时间
1,荞麦,力荐,“她这么辛苦种田就是为了每天这么吃啊？”“对啊，人生不就是这样吗！”,2015-07-21 17:36:36
2,尘世之埃,力荐,真希望变成晨间剧啊，每天都想看到,2015-03-19 22:07:35
3,MR.SANMAN,力荐,有人说装逼呀什么的 我人生就得加一味装逼,2015-03-27 20:02:29
4,Essy,力荐,昨晚做草莓酱的时候，幻想女主上身。,2015-03-17 14:46:56
5,匡轶歌,推荐,完全抹去了互联网时代的痕迹，联络仅靠寥寥书信，甚至电视机的画面都不易见。人物们不玩手机不发短信、不上推特晒图朋友圈发吃，只自己默默耕种、收获、烹饪、享用。抱着电脑手机看了部片子就说日本农民很优雅？先别忙着叶公好龙、去浪漫化乡村生活。抱着审美心态，在任何地方都无法承受生活的真面目。,2015-06-28 16:23:57
6,小蛋蛋,力荐,多做一些好吃的，少讲一些大道理,2015-07-17 11:53:41
7,巴喆,力荐,嗯，要细心，要有耐性，还要要守得住寂寞。当然首先，你要有块地。8.5,2015-07-02 20:06:49
8,frozenmoon,力荐,舌尖上的日本啊。非常治愈，尤其在刚刚看完《疯狂的麦克斯4》之后接着看这部。这个世界上，可能也只有日本能拍出来这样的电影了。独立于地球的自我。一日三餐，周而复始，春播冬藏，这就是“日子”最好的解释。,2015-07-05 11:29:28
9,哦豁,力荐,想做饭想做饭想摸菜刀想翻锅想捏面团啊啊啊啊啊我的厨魂已经熊熊燃烧了！！！！感觉村里地上随便啥草都能焯一下炸了吃掉¯﹃¯…,2015-06-29 14:48:52
10,根,力荐,一个比较感人的细节就是桥本爱全程看起来都像是几天没洗头，确实一个人住的话也不太可能有毅力经常洗头了！,2016-12-21 23:08:37
11,乱子,推荐,故事的最后貌似告诉我们一个道理：宅在家里是找不到老公的。。（误）,2015-06-29 12:10:08
12,张腾森,推荐,那种时光静静流走，不去叹息，也不挽留的感觉，真好,2015-04-07 13:50:25
13,昏金暗玉,力荐,冬天所需之物，春天就得埋下种子。时间必不可少。某些事情绝不能做，一旦做了就成定局。我喜欢她不言不语接受一切，不言不语过每一天。少女啊心倔强，千锤百炼之后犹有不甘。冬雪化尽樱花开，冬天埋下的种子来夏再收吧，少女再次走进等待一切的黑夜。,2015-10-21 00:06:43
14,T.V.Zoe ி,推荐,我們說的“不時不食”是說要吃時令自然生長的食物 然而時令本身即是一味調料 就像生活里不期而遇的一切 都讓食物有了當時的意義 事已至此，還是先吃飯吧【北歐風性冷淡電音農廣天地大法好！私心這片子早10年女主非蒼井莫屬,2015-07-05 16:45:20
15,张苑希,推荐,四季更替，万物轮回，小森的美不仅仅是体现在美食上。人与自然，相互给予，相互奉献。食物、耕作、生活，循环往复，生生不息，最妙的奥义尽在这小森之中了。,2015-06-28 23:12:02
