序号,评论者,评分,内容,时间
1,亵渎电影,推荐,当年读小说的时候，就被最后老爹那段话感动，是那段话的态度，让整个故事变得不一样了。一个意大利少年和一个美国青年渡过了生命中的六周，他们之间不仅仅是同志感情，最后成了一种超越爱情和友谊的美好东西，告诉你要学会去感受生命中的一切，在年轻的时候拥抱所有感觉和情绪，就像一种修行和成长。,2017-12-22 13:00:03
2,大島,推荐,相对于这样一场爱情，我更需要这样一栋房子。,2018-01-02 17:18:30
3,德米安。,力荐,elio坐在火炉前，一会儿落泪，一会儿抿着泪水笑了，一会儿眼睛里又恢复了冷漠，仿佛在短短几分钟内，他把那个夏天又度过了一次，且此生还要度过很多次。,2017-10-28 07:00:49
4,歌辞,还行,中学生的爱情，很美好，但都不作数的。基本上就是大小两个渣男生动而细腻地互撩。爱是真的，伤心也是真的，但它并不比别人的更难得更珍贵，至少在我看来还不如那个骑自行车来送别的妹子情真。Elio与Oliver之间怎么超越了友谊与爱情，你说超越就超越了？,2017-12-23 08:44:37
5,陀螺凡达可,力荐,后劲太大，沉醉在电影的情感和视听氛围中无法自拔。雕像下的长镜头，午夜约会时的触碰，深夜教堂外和陌生人的尬舞。最终所有乌托邦似的美好都凝固在了80年代初那个夏天的意大利小镇，就像父亲说的那些炽热纯粹又隐秘的欲望和情感，以及用尽全力去探索、去爱、去失去、去心碎的那个自己，再也没有了。,2017-02-22 17:23:57
6,Ashleigh,还行,诚然在那个年代同性恋不被接受，但他们在对抗世俗偏见的时候，为什么要以女性的血肉作为盔甲呢。Elio因为吃醋而主动和Marzia发生关系，而在Oliver抛出橄榄枝后立即玩消失；男主爸爸是同，但娶了美丽优雅的妻子；Oliver和女友交往了三年，期间和Elio发生了关系，马上要结婚；骗婚浓度过高了吧？我不是腐女，也不像Marzia那般圣母，无法体会到这种建立在女性眼泪之上的男同爱情的伟大。,2021-02-05 01:02:44
7,朝暮雪,力荐,我知道读书，知道游泳，知道改编乐曲，知道皮亚韦战役是最惨烈的战役之一……我什么都知道，却不知道怎么让你喜欢我。,2017-12-23 15:54:09
8,桃桃林林,推荐,美术，摄影与恰到好处的配乐都太出色了，美好的夏日时光，恰好对应初恋的故事。这个导演在影像上一直很有特点，也非常突出。最后一场戏确实厉害，一点点渗出的感伤。虽然当时看的时候，也就是觉得还好，还不错，之后倒是总想起结尾那场戏，看起来，还是记住了。,2017-11-13 18:47:47
9,木卫二,还行,想有这样的妈，想有这般家庭，想有这种腐朽堕落的资本主义文化生活，看书游泳摘杏吃桃。但感到困惑的，是明明不排斥肉欲，但用唯美小清新包装的娇嫩欲滴肉体，总觉得落脚点很奇怪。如果投射到爱情电影与经典电影，就是一味包装得通俗讨喜的青春爱情而已。,2018-01-31 20:53:11
10,浅显,推荐,1. 骚年，你上辈子积了多少德才能投胎在这样的家庭？2. 家里挂墨索里尼像的老太太二话不说就为过路的陌生人取水。3. 真是一部跨越性向的爱情片。4. 导演相当呆萌。5. 快点通读完古罗马史去呆梨! Laterrr.,2017-08-04 19:39:49
11,邓安庆,推荐,看进去后，我觉得并非糖水片。从相识，经历试探、闹别扭、忍不住靠近、戳破那层纸、干柴烈火、甜蜜相处、挥泪告别到深深无奈的过程，展现得细致舒缓。爱到深处，五脏俱焚，连回去的力气都没有了。小演员的演技真是太好了，结尾处他蹲在炉火边默默哭泣，那种复杂的情绪，经得起长时间的镜头凝视。,2017-12-24 21:55:49
12,滕子京,还行,两个处在金字塔顶端的白男，英俊富有健美高智，在风景如画的夏日庄园没什么事情做就是游泳吃喝谈恋爱，这个设定就已经boring到死。爸爸妈妈都帮忙拉皮条，搅基难度为零。看不出来oliver为什么爱elio，因为主角杰克苏吗？最后爸爸那番，人生难得这样激情的慨论，听上去简直贪得无厌了。失望，差评,2018-02-22 16:12:15
13,你大立,推荐,太窒息了，轻描淡写着逝去的初遇。夏天特有的短裤，阳光，浸泡在水里的身体，单边挑眉的少年，不平整的领口，短袖上的talkingheads。空气里的热度都是爱欲，流淌的水也是爱欲。想谈专属八十年代的恋爱，交流是吃饭、弹琴、读书、郊游、写小纸条，smartphone不值得甜蜜爱情,2017-12-20 16:26:34
14,谢飞导演,推荐,与现实、残酷的展现艾滋病患者悲剧世界的《每分钟120》不同，本片是如此精致、宽容、美妙的讲述了一个17岁少年的同性初恋，别具一格，较好地扩大了这一小众题材的观众面。美少年主演的魅力和意大利如画风光都是作品讨人喜爱的地方，但它在即将到来的奥斯卡竞争的前景，不容乐观。,2018-01-14 19:47:20
15,同志亦凡人中文站,力荐,细腻、唯美、慵懒，带着浮生若梦的气息。我们大多数要等到青年时才能将蒙昧的性觉醒付诸实践，而CMBYN呈现了同志电影绝无仅有的“少年时代”。这个叫Timothée Chalamet的男孩是世间最美的珍宝，他的一颦一笑、从脚趾到发梢都让人疯狂。请以你的名字呼唤我，因为在这一刻You're MINE,2017-07-28 13:45:45
