序号,评论者,评分,内容,时间
1,根,推荐,肯德基年度推广大电影,2019-03-01 14:36:16
2,陈大希,力荐,让人印象最深的片段是他们的车在南部的乡间小路上抛锚，和田里劳作的黑奴对视的那一幕，无声却发出巨响。,2019-01-13 11:39:48
3,朝暮雪,力荐,肤色对调版《触不可及》，一场跨越美国的公路之旅，更是一场跨越种族与肤色、身份与阶层的人性之旅。 所有下属都对唐毕恭毕敬，唯有托尼把他当普通人对待，给他吃炸鸡、对他说出真实想法。 不把他当成黑人，才是真正不歧视他的表现。 另一方面，唐又受到外人的歧视和侮辱，他始终忍气吞声，低声下气。 听他演奏的观众可以在餐厅吃饭，而他作为表演者却不可以。 正是托尼教会他反击，教会他为自己发声、捍卫自己的权利和尊严。 在所谓“高级的、尊贵的”场所受到不平等待遇，反而在“低端的、卑微的”黑人酒吧获得尊重和支持，实在太讽刺。 天才是不够的，唯有勇气才能改变人心。既然他都不考虑你的感受，你又何必照顾他的情绪呢？ 忍一时得寸进尺，退一步变本加厉。暴力不能让你赢得什么，但懦弱永远都是输家。 正面对抗生活的恶意，才能战胜恶意。,2019-01-17 11:49:44
4,同志亦凡人中文站,推荐,肤色、阶层、性格和性取向天差地远的两个男人，因为音乐而结缘，因为公路旅行而成为一生朋友。有时候才华并不够，还需要勇敢，推倒心中那面墙才能开门见山。电影就像一颗绿色小石子，投入黑白分明的美国社会，激起轻小而美丽的涟漪。虽然有刻意营造的温暖感，但我就是愿意买单~！,2018-12-07 13:36:05
5,Rocrw,力荐,绝对是今年tiff我看过的最有意思的一部电影，全场笑声掌声就没停过。节奏欢快，情节有趣又不失深度。V叔扮演的来自Bronx街头的意大利裔司机和Ali扮演的受高等教育的黑人音乐家碰撞出令人惊喜的火花，二人从纽约一路向南巡演，然而越向南种族歧视也越来越严重。导演用一种巧妙的角度向观众展示了当时的不公以及音乐家内心的纠葛。尽管他从小就在不同的重要场合表演，然而最尽兴的一次却是在圣诞前夕的一个黑人小酒吧。他最终选择了为自己发声，不再对歧视屈服。结局温馨感人，着实是一部好电影。,2018-09-12 08:48:30
6,西楼尘,推荐,赶走偏见不是靠鸣枪，赢得尊重不是靠拳头。为了如厕宁可折返，为了用餐甘愿罢演，受到霸凌不视为侮辱而视为考验，受到恩惠不视为荣耀而视为耻辱。南方劳作的黑奴看到路边的他衣冠楚楚，如同一个预言。一家上流餐厅，一间宽敞厕所，一个高档试衣间都没能容纳下的东西，却装进了一方绿色车厢，勇敢上路。,2019-02-24 22:23:33
7,影志,推荐,“世界上孤独的人都害怕迈出第一步” 从最开始的矛盾抵触、到被迫站到一边慢慢调和、甚至最后的惺惺相惜，这不是一趟抛开歧视的旅途，而是两个孤独的人从彼此身上看到另一个世界，一个更真实的世界。纵使有太多不同，种族的、阶层的、贫富的，都可以在这一场春风化雨、淡入心灵的结伴同行中，化干戈为玉帛。“爱上你是件毫不费事的事情”、“如果我不够白，也不够gay，又不够男人，那么你告诉我，我到底是谁”…唐·谢利为托尼口述如初恋般的情书，托尼教唐接地气的吃鸡，并在小镇里彼此解围，最伟大的友谊不过如此。根据真实故事改编，可爱精致的友情小品，美国版《触不可及》，今年奥斯卡最佳影片锁定它了。“谢谢你把丈夫分享给我”,2019-01-13 22:06:44
8,JulyChan,无评分,我这个鄙俗粗蛮的小可爱就要撬开您那森严优雅而又防备的世界。,2019-01-14 12:47:12
9,StarlightRiver,力荐,Mahershala說片子里某個根本不會被人注意到的佈景里的某塊石頭或許就是V撿的。他說V在拍攝的時候，一直留心撿很漂亮的石頭，撿到了就拿給導演說：看，把這塊石頭放在背景里會有多好看 說到電影里的部分，他可能增肥了有二三十斤，從來沒見過他有那麼大的肚腩（現在似乎已經減回來了）。今天在看V表演時，大部分的時間，我忘了他是Viggo，他就是那樣一個沒文化又油滑、滿嘴跑火車的司機。 僅僅偶爾偶爾有幾個他不說話、只抽煙的鏡頭，鼻孔一噴白霧，就那麼一瞥，卻還像是十幾年前、《東方的承諾》里那個冷酷無情的殺手。 今天導演說He’s a great person before he’s a great actor. 這麼多年了，還是一直一直都沒變啊。,2018-09-12 18:49:33
10,亵渎电影,推荐,这部电影的厉害之处就是剧本扎实，在人物塑造和细节上非常出彩。这趟一路向南的旅程到最后也不能让Dr. Don Shirley证明自己在白人心中的地位，他身陷孤独境地也没人帮得了他，除非他自己跟自己和解，自己去完成一场关于自我的救赎。它并没有刻意说教的去讲什么，但每个人都能从中看到不同时代某些群体的遭遇，不仅仅是黑人和白人这么简单。这部电影的主题正如片中那句点睛的台词所说的，因为天才还不够，唯有勇气才能改变人心，而这就是一部关于勇气和改变的电影。虽然是非常套路化的公路片，拍的却是异常的温暖，剧本非常加分，应该会拿今年奥斯卡的最佳原创剧本吧。★★★★,2019-01-14 16:20:07
