序号,评论者,评分,内容,时间
1,麻绳,力荐,这电影要是早两年看，不会有这么深感触。很多情况下，真相是什么对围观者并不重要，他们需要的只是一个支点，让自己站在虚妄的道德制高点上，得意一时是一时，反正过几天他们就会遗忘，任由真相被新的猎奇淹没，微博上这样的人和事比比皆是。,2013-03-28 16:26:59
2,柏林苍穹下,力荐,占据道德的制高点猎杀他者，你手上可有血污！？,2013-03-24 03:09:56
3,老晃,推荐,1、看的人想死的心都有了；2、……还得活着。,2013-03-30 23:36:38
4,cancel,力荐,如果你有个上幼儿园的孩子，就会明白，大多数情况下，通过诱导的方式，成人都能从孩子的口中得到他们想要得到的信息，所以，关键问题是大人们想得到什么，而不是孩子说了什么,2014-05-23 11:51:03
5,wino,力荐,1.萝莉由爱生怨的报复手段又狠又蠢 2.孩子最可怕就在于明明无知，却会本能地以纯真作为武器，让他人深信不疑 3.人们习惯于自以为是，站在弱者角度分发所谓的正义和怜悯心，本身就是一种不公 4.信任和声誉一样，一旦破坏就无法修复 5.你永远活在他人的目光里，而世界本就有太多恶意~结局很现实，好片,2013-03-22 18:10:35
6,匡轶歌,力荐,极度深寒。很难不联想到韩寒事件、杰克逊娈童案、及阿瑟米勒剧本的<妒焰飞灰>。孩童之恶源于无知。成人之恶却发乎偏见、道听盲从、各种嗜血癖嗜尸癖嗜黑癖，对恶的无反思、不推己、不自知。诬名者往往善假正义之帜，无不高举道德刑具。泼粪杀人的最大恐惧是谁也无法预知，这冤假错何时会降临自己头上。,2013-03-28 16:09:12
7,安非,力荐,天真无邪才是最大的邪，童言无忌才是最大的忌，天使有时候才是恶魔。能说出口的委屈都不叫委屈，最大的委屈是承受不白之冤还百口莫辩。,2013-03-23 22:56:14
8,大头绿豆,力荐,❶本片极度绝望压抑（但毫不沉闷），易产生诸如替男主抬起猎枪从幼儿园园长超市店员开始杀起这样的冲动，请谨慎观看。❷我们都可能成为那些抛弃卢卡斯的人。就像我们认定一个人精神病，他的所有举止就是精神病。❸熊孩子的恶意比任何恶意都可怕，因为他们不知道后果。,2013-04-11 22:34:17
9,影歌yorihisa,力荐,即使整个社会抛弃了你，也要活得有尊严。叔顶着满头鲜血回到超市去要回属于自己的东西真是帅爆了=口=卢卡斯从没有抱怨过我什么都没有做你们却要这样对待我之类弱爆的怨言，而是咬牙挺胸堂堂正正的挺过去。如果恶意无法避免，至少要活得坚强。顺说我总觉得下一幕叔就会化身汉尼拔把全镇下饭…,2013-07-05 06:44:26
10,木卫二,力荐,逃脱了世人的诬网，躲过了森林的暗枪。没有打中你的子弹，它击中了我。继去年《单车少年》后，再一次出现被击中心口的感觉，达内兄弟和李沧东的混合物。平安夜教堂一段，虐惨了。小女孩并非罪魁祸首，他们完全不知道一个谎言的杀伤力，其他人的添油加醋方才可恨（尤其幼儿园那大妈等）,2013-03-26 00:20:09
11,Lavender,力荐,这个男人从始至终都善良、宽容的对待每一个人，这是最让我感动的，最后Lucas教堂里爆发那场戏看哭了，Mads演得真心好，个人认为结尾开枪的是Klara的哥哥~,2013-03-25 13:21:38
12,亵渎电影,力荐,不懂事的孩子撒谎惹祸，而孩子还根本就不懂事件的严重性，这是个有趣的创意。在儿童性侵如此重口的丑闻面前，所有人物和角色的行为和立场都变得清楚而极端化，孩子的纯真让善良的人们变得极端的可怕，整部电影的压抑情绪让观众不寒而栗，甚至想要男主爆发报复社会，这几乎是一部完美电影！★★★★★,2013-03-22 00:34:36
13,我做导演不为艺术只为潜规则,推荐,Mads Mikkelsen被冤枉以后变成汉尼拔报复社会了,2013-04-09 19:44:35
14,yangyu150752,力荐,你看见是谁开的枪吗？ 我看不见，他在制高点，他在阳光下。 ——电影《狩猎》,2021-12-06 12:03:13
15,占士鯊,力荐,媽的，還是當漢尼拔吃人比較好。,2013-05-12 02:28:32
