序号,评论者,评分,内容,时间
1,逍遥兽,未评分,归亚蕾好赞  结婚就是业障  一场牵挂  NB,2007-11-12 22:01:36
2,阿右,力荐,看似最不能守住传统和孤独的人，坚持到最后。,2012-04-21 00:38:36
3,花间一姐小渡边,力荐,你个杀千刀滴老朱，我以为你要勾引我，原来你是要拐走我滴女儿！,2014-03-29 10:32:04
4,眠去,推荐,人生不能像做菜，把所有的料都准备好了才下锅。还有就是，原来男人会一直有性欲。,2008-02-05 15:13:55
5,太阳的倒影,推荐,李安真是个闷骚，想骚不敢说，但又骚得难耐，只好骚得若隐若现，骚得欲说还休，把他那五千年来的性压抑骚成一套吃饭故事，一如他上台领奖，本是春风得意，却把脸摆成一幅认怂的样子，但再怂也掩不住嘴角的笑意，尼玛，我从未见过如此闷骚之人！,2017-01-29 10:50:47
6,我的苦難史30天30夜也講不完,未评分,我不怪我爸了。,2008-12-20 18:47:48
7,Q。,推荐,“其实一家人住在一个屋檐下，照样可以各过各的日子，可是从心里产生的那种顾忌，才是一个家之所以为家的意义。”极其平淡的生活细节，但无不透尽亲情与爱意。归亚蕾那口熟悉又有趣的湘音也让我开怀。有时候，生活和烹饪是一样的道理，需要用心去投入才能做出一份好味道。★★★★,2011-06-12 16:59:22
8,火娃,还行,7/10。从父亲形象看得出李安受困于东西文化的道德模糊状态，片头十字路口紧接老宅子的远景俯拍象征喧闹都市与传统文化的冲突，行云流水的跳切表现老朱抓鱼、切鱼，母亲的照片和家倩长像相似暗示父女的微妙关系，第二次聚餐老朱切不下鱼的味觉失调指代伦理失调，聚餐的单人镜头象征子女各怀心事的隔阂，当老朱宣布和锦笼的老少恋并渴望搬家建立新家，餐厅外全景移动镜头酝酿不伦危机的爆发，结尾家倩喂父亲一勺汤，父亲味觉恢复指认家倩为妻子的继承人，李安既肯定老少配的西方自由恋爱又要维护东方伦理，只能委婉地表达这一悖论；家珍压抑的爱如火山爆发和父亲压抑的不伦之情是一回事，路边戴耳机听哈利路亚、家猫叫春都惊动家珍被宗教压抑的爱欲，接受道明邀请上台唱歌，站在操场主席台大喊谁写情书，大音响震住隔壁卡拉OK，音乐多次宣泄了压抑的爱欲。,2019-02-03 14:04:41
9,Gabrielle,力荐,到现在才看这种基础款片子实在该打。吴倩莲的角色看得我如坐针毡。归亚蕾对小珊珊说：“小孩就嘴这么叼，长大必定嫁不出了。”镜头一扫吴，我才后迟钝地顿悟。问题或许甚至不在美貌和才情就在那份致命的骄傲。这才只是副线之一。李安这人坏到骨子里去了。,2012-02-19 21:16:23
10,镜泉,推荐,假如94年有豆瓣 着一定会是当年最精彩的一个直播贴,2012-10-03 01:11:45
11,吊诡,力荐,家倩:啥？我买的房子是违章建筑？啥？我妹妹怀孕了？啥？我大姐的苦情史是她的幻想？啥？我炮友要结婚了？（而且我真就是个炮友？）啥？我爸把锦荣拐跑了？啥？我爸做体检是为了证明他还能再生一个？这啥世道啊？这啥家庭啊？你们这么多人玩我一个确定不是串通好的吗？还有，爸，我刚决定放弃大好前程留下来陪您，您把房都卖了，合适么？,2021-03-05 01:51:53
12,东方树叶,还行,家境贫寒的男孩Ali（Amir Farrokh Hashemian）帮妹妹Zahra（Bahare Seddiqi）取修补好的鞋子时，不慎将鞋子弄丢，为了不被父（Mohammad Amir Naji）、母（Fereshte Sarabandi...展开,2017-03-06 07:04:09
13,艾小柯,推荐,细腻又不做作，李安的一贯风格。,2006-06-20 03:34:34
14,DJ Katze,力荐,看完之后我就想当一辈子的姗姗。,2013-06-10 11:50:47
15,5只小熊,力荐,我会告诉你我反复看了五遍开头？口水留成海,2012-09-14 01:31:55
