序号,评论者,评分,内容,时间
1,星尘战场,力荐,里面的布拉德皮特帅的掉渣……,2007-02-17 17:10:36
2,蛮爷,力荐,为什么拍出来十几年我才看到呢？,2007-12-21 00:03:12
3,某猪·坑坑洼洼,还行,没觉得有多经典。一来因为没有读圣经信基督的文化背景，二来就像那篇最热门的影评说的，它展示了一些很糟糕的东西，却没有给出解答。这没有什么意义。,2010-03-20 23:40:54
4,毛驴哥🔒🔒🔒🔒,推荐,决定永远不暴食,2005-12-26 22:07:38
5,香草,还行,整个片子营造一种阴暗的氛围，好像在衬托主题和基调。可是事实上，除了几幕血腥恶心场景外，实在没什么可圈可点的地方了。而且片子中还有好多地方模糊暧昧，模棱两可。人物刻画也不够深刻。最后的结局部分，谁证明那个纸盒里面一定是小警察老婆的人头？而且，即使是，老头如果真想阻止小警察开枪的话，,2010-04-02 06:19:22
6,momo,力荐,色调太深沉，纽约的雨一直下，混乱的街区，血腥的现场。 有些画面好恶心，分2天看完的，特别喜欢老警察，演技台词都是一流的。 还有万万没想到的结局。,2016-11-01 01:23:41
7,催眠药,推荐,故事看多后的后遗症就是一般最后半小时就知道结局了。。。,2011-08-13 21:34:27
8,星辰Loni,推荐,其实John Doe杀害Mills的妻子已经破坏了自己的作品，因为她没有犯任何一宗罪，她是这个作品里不和谐的死亡，纯粹是为了引出暴怒，而暴怒者最终也没有死亡，但是他得到的是更长久的惩罚 每天陷入妻子与自己未出世的孩子的死亡当中，也为自己莽撞杀死嫌犯而自责，活着的每一刻都是惩罚，正如John Doe对每一个受害人的折磨一样，漫长细碎，生不如死，从这一点来说，这一系列七宗罪的作品是完成了，只是其中出现了Mills妻子这个意外：一个纯粹怀有爱情，母爱，善良的人，一个无罪无辜之人。John Doe错了，这个世界并不是全部都是罪人，而这样纯粹美好的感情，也是我们为这个世界奋斗的动力。,2022-01-12 01:07:03
9,Lan~die,推荐,阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句,2008-04-09 02:19:45
10,毛利,力荐,印象最深的是那个胖子,2006-11-21 20:21:43
11,巴喆,力荐,重点不在于约翰·杜是如何预谋并成功实施杀死5人最后造成七宗罪的悬疑，大卫·芬奇把整部电影提高到对整个社会的沉思和批判，甚至是绝望。片中人所在的城市，人与人之间的冷淡、功利、自私、纵欲、贪婪、堕落、淫欲高傲等人性的弱点与罪恶，在这里一显无疑，借的是宗教说的就是人性，可是人性本来如此。（比如我戒不掉，比如此时年轻精壮时尚有的好色)。8.7,2012-01-17 22:11:25
12,老鸡｜扶立,力荐,从它开始喜欢上摩根弗里曼,2008-01-10 16:20:07
13,单线程青年,力荐,那么，学会克制，远离se7en sins,2008-08-29 16:28:19
14,Trailleo,还行,g弦上的咏叹调，爱上这部电影，完全是因为它选了我最喜欢的一首古典乐，现在回忆这个故事，不得不说大卫还是太嫩了，黑暗的表现太刻意了。除了这首配乐，其他的都很一般,2006-07-04 20:10:29
15,汪金卫,推荐,七宗罪：「暴食」、「贪婪」、「懒惰」、「嫉妒」、「骄傲」、[淫欲]、「愤怒」。弗里曼和史派西 神演技。就是通过查图书馆借阅记录来找到犯人有点二。犯人那么有钱，就不能买书么？结尾探讨箱子里的内容其实无意义。不过个人还是倾向是头颅。,2011-12-27 22:00:12
