序号,评论者,评分,内容,时间
1,星尘战场,力荐,里面的布拉德皮特帅的掉渣……,2007-02-17 17:10:36
2,某猪·坑坑洼洼,还行,没觉得有多经典。一来因为没有读圣经信基督的文化背景，二来就像那篇最热门的影评说的，它展示了一些很糟糕的东西，却没有给出解答。这没有什么意义。,2010-03-20 23:40:54
3,毛驴哥🔒🔒🔒🔒,推荐,决定永远不暴食,2005-12-26 22:07:38
4,蛮爷,力荐,为什么拍出来十几年我才看到呢？,2007-12-21 00:03:12
5,momo,力荐,"色调太深沉，纽约的雨一直下，混乱的街区，血腥的现场。
有些画面好恶心，分2天看完的，特别喜欢老警察，演技台词都是一流的。
还有万万没想到的结局。",2016-11-01 01:23:41
6,毛利,力荐,印象最深的是那个胖子,2006-11-21 20:21:43
7,催眠药,推荐,故事看多后的后遗症就是一般最后半小时就知道结局了。。。,2011-08-13 21:34:27
8,巴喆,力荐,重点不在于约翰·杜是如何预谋并成功实施杀死5人最后造成七宗罪的悬疑，大卫·芬奇把整部电影提高到对整个社会的沉思和批判，甚至是绝望。片中人所在的城市，人与人之间的冷淡、功利、自私、纵欲、贪婪、堕落、淫欲高傲等人性的弱点与罪恶，在这里一显无疑，借的是宗教说的就是人性，可是人性本来如此。（比如我戒不掉，比如此时年轻精壮时尚有的好色)。8.7,2012-01-17 22:11:25
9,老鸡｜扶立,力荐,从它开始喜欢上摩根弗里曼,2008-01-10 16:20:07
10,单线程青年,力荐,那么，学会克制，远离se7en sins,2008-08-29 16:28:19
11,星辰Loni,推荐,其实John Doe杀害Mills的妻子已经破坏了自己的作品，因为她没有犯任何一宗罪，她是这个作品里不和谐的死亡，纯粹是为了引出暴怒，而暴怒者最终也没有死亡，但是他得到的是更长久的惩罚 每天陷入妻子与自己未出世的孩子的死亡当中，也为自己莽撞杀死嫌犯而自责，活着的每一刻都是惩罚，正如John Doe对每一个受害人的折磨一样，漫长细碎，生不如死，从这一点来说，这一系列七宗罪的作品是完成了，只是其中出现了Mills妻子这个意外：一个纯粹怀有爱情，母爱，善良的人，一个无罪无辜之人。John Doe错了，这个世界并不是全部都是罪人，而这样纯粹美好的感情，也是我们为这个世界奋斗的动力。,2022-01-12 01:07:03
12,Lan~die,推荐,阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句,2008-04-09 02:19:45
13,wood黄小木,力荐,如果说暴怒也是一种罪，就算我牢底坐穿，也要让你得偿所愿。,2020-12-12 03:06:34
14,饿霸地煮,力荐,剧作极其优美。其实七宗罪并不是这部电影要讲的，而是围绕“罪”构建的七种人。摩根弗里曼代表“理性”，结局是虚无。皮特代表“感性”，结局是迷失。妻子代表“纯洁”，结局是献祭。未出生的孩子代表“无罪”，死于酷刑的几个人代表“有罪”，他们都必须毁灭。第六种是平庸的人们，过着无聊无知无趣的人生，他们的结局是海明威那句话的后半。恶魔史派西的定位是上帝，伊甸园的原罪，让人们怀疑上帝是否全知全能全善？这一刻上帝和撒旦高度重合。,2021-01-01 21:31:39
15,汪金卫,推荐,七宗罪：「暴食」、「贪婪」、「懒惰」、「嫉妒」、「骄傲」、[淫欲]、「愤怒」。弗里曼和史派西 神演技。就是通过查图书馆借阅记录来找到犯人有点二。犯人那么有钱，就不能买书么？结尾探讨箱子里的内容其实无意义。不过个人还是倾向是头颅。,2011-12-27 22:00:12
