序号,评论者,评分,内容,时间
1,同志亦凡人中文站,力荐,吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！,2014-10-20 17:17:46
2,杨迪,力荐,哇！我是那个被剧透了也觉得好看的人，我好厉害！,2015-05-29 20:43:05
3,神探夏老师,力荐,我是在电视上看这个片子的，之前有主持人介绍，然后主持人来一句，这是一部和人格分裂有关的电影，然后我看的时候心中就一直在默默咒骂这个主持人，真是实力剧透,2016-01-23 17:20:20
4,苏比,力荐,没办法不打五星啊，虽然不到一半就猜到了结局。,2009-07-01 16:09:18
5,X,力荐,如果放在现在看的话可能打分会下降2分，可是放在2003年，可以说是超前了,2017-04-15 23:18:29
6,谋杀游戏机,推荐,医生的治疗方案是让不同人格互相残杀以产生幸存者，但残杀所诞生的幸存者就不可能是最优人格,2010-01-28 17:58:03
7,Η²,力荐,本以为是娱乐片，却是一部精彩的悬疑片，和《记忆碎片》一样，不到结尾不见真相。前段或许有些老套，但进行到中段的解谜阶段就很紧张了，后面的真相揭开后，又将剧情推向一个让人瞠目结舌的高潮，难得的是在结尾，居然再次给了观众心灵一记刺痛。善与恶，原本就是一体的。 PS:1.以罪犯幻想之情节名义给剧本许多地方逻辑推理不足找到了借口2.Mhotel又有何寓意呢3.对影片营造的黑夜，阴冷，潮湿氛围很中意last.每个人或许都有多重人格，后怕。 H2 2008.7.12 03:38,2008-07-12 03:54:50
8,树木希凉,推荐,救命啊，金牛座遭遇大屠杀...,2010-08-08 16:13:30
9,viking,推荐,恐怖？剧情？科幻？探案？四不像！ 我也想搞上十个自己，大家一起玩dota,2008-03-07 22:58:51
10,墨一,力荐,大脑完全被欺骗了！汽车爆炸前是一直坚信是小男孩干的，他母亲是因为他的动作后退被撞，也只有他进过母亲的房间，新婚女在厕所和外面的人比力气赢了说明对方肯定不是成年人或者是女性，男孩的父亲是看到男孩才冲过去被撞，说明男孩之前不在那。但这些猜测都在爆炸后被推翻了，直到结尾才恍然大悟。主人格就是那具冰冻尸体，汽车旅馆就是剩下11人格的格斗场，每个人都是你，都是我，是那个人儿时与成长记忆遇到不同人的缩影与集合，谁都出不去，谁都进不来。结尾细思极恐，善良已死，邪恶觉醒，吟唱着诗的同时，我已确定要走向地狱,2023-01-02 09:30:23
11,河蚌珠珠,力荐,不到最后一刻，我都以为是一场心灵的救赎。,2021-03-06 14:05:51
12,一个悲伤傻瓜,力荐,他是那个性格孤僻的小男孩，她理想中的母亲虽然是个妓女但会在攒够一笔钱后回家乡种柳橙。再不济他母亲再婚后，继父虽然是个唯唯诺诺的普通男人，但跟母亲一样为他被车祸撞死。或者回到出生以前，女的假装怀孕向暴力好色男逼婚，但半路闹崩他也就不会怀孕了。他理想中的自己是一身正义却因为承受不住精神压力的正义警察。也许假的旅店老板就是他那个嗜赌成性离家出走的生父吧。被押着的杀人犯即使能一时逃跑也逃脱不了死亡的命运。有关真警察、过期女星的人格意象不是很能理解。最终小男孩还是因为积累的仇恨在弑父后杀母。只是可惜了那个一心想救治他的心理医生了。,2023-02-19 21:07:08
13,是诺曼底号啊,力荐,太好看了吧 一个半小时全程高能无尿点连台词都没有一句废话 九个分裂人格哪个才是真正的他？,2018-02-25 08:11:05
14,理想多钱一斤啊,推荐,最不可能的那个人永远是最可能的,2011-01-22 14:03:54
15,影子的影子,推荐,精妙绝伦的剧本。大量的细节描写使得影片非常耐人寻味，切换焦点时镜头的微小变动更是非常隐喻。结局倒不出乎我的意料，这种片子到最后肯定会回头给观众一枪。编剧太牛了，前后呼应的巧妙简直让人佩服得五体投地。即使是6年前的片子，如今看来也生猛十足。,2009-10-08 17:27:15
