序号,评论者,评分,内容,时间
1,我是大皮哥,推荐,“有些电影惊心动魄是在提醒你它是部电影，而有些电影平平淡淡是在告诉你这是生活。”,2015-12-19 15:29:32
2,叶酱,推荐,总觉得一种日式情趣压倒了电影本身,2015-12-22 23:59:31
3,LeungChanXXX,推荐,是枝裕和依旧干净细腻的日常化风格。仲夏，烟火，梅子酒，沙丁鱼，贴窗花的推拉门，四人的暖炉桌，樱花汇成的隧道，火车经过的小镇，梅雨时节走过的阶梯，沙滩上的脚印，最后所有温柔隽永的情感都堆积成随着海风轻轻拍打过来的海浪。真想也这样过好自己的生活。,2015-12-16 20:50:36
4,芦哲峰,力荐,我爱这温暖治愈的四姐妹，像爱我用心写过的四首诗。,2015-12-31 10:35:49
5,影志,推荐,“活着的东西都是很费工夫的” 淡淡的日本家庭片。只需微笑和淡然，便可解开心结。,2016-01-03 18:27:07
6,木卫二,力荐,把绫濑遥、长泽雅美、夏帆拍得美，是一件太简单的事——譬如开头。但在多数时候，是枝裕和故意让她们显得没有那么美，与那座老房子和日常事物紧密粘合。一花一世界，一木一浮生。反正打开二十秒，后面就停不下来，不想快进不想暂停更不会想关掉。说很平淡很无聊的，开什么国际玩笑啊。,2015-12-17 10:19:59
7,伍德与夏洛蒂,力荐,是枝裕和永远我的菜啊，暖暖慢慢的，有点悲伤有点小高潮却不会改变太多，摄影台词配乐节奏都扎实的要命，没见过写异母姐妹写的这么棒的，夏帆的咖喱，MA酱的长腿啤酒，奶遥的情妇轮回与母性逆转，当然还有小妹，那个最像成人的人，看得人数次落泪。#戛纳电影节#,2015-06-29 16:54:15
8,xxhhcc,力荐,不能以过去的眼光去看是枝裕和了，发行从艺术院线到东宝，五十多岁的是枝裕和才第一次拍摄人气女优主演映画，一来还是四个，“压力”确实不小。电影虽然剧本和剪辑上都有些问题，但“女优美，长腿美，镰仓美，日料美，生活美”可以掩盖了这些问题。四姐妹几乎都完成了自己最好的表演，年度推荐！,2015-06-13 23:47:48
9,桃桃林林,推荐,简单、干净、温暖、治愈，海边的风与阳光，又一部是枝裕和亲情剧。难得的大牌云集，虽然在导演最近几部作品里，算平庸的，却也足够感人与回味，何况，还有一群养眼的妹子,2015-12-16 14:48:12
10,米粒,推荐,“生活中的人来来又去去，自己的日子还是要一步一步走”，处于道德困境中的普通人，要如何通过和家人的沟通达成和解，大约是所有是枝裕和电影的主题。电影始于葬礼，终于葬礼，却感觉不到悲伤，如绫濑遥的笑容，安定又给人希望。剧作为了面面俱到，说得很“圆”，所以可能有点刻意,2015-05-14 14:07:17
11,文森特九六,力荐,平庸？！远了的先不说，就是和被捧上天的上一部《如父如子》比，这部也明明更有味道，根本舍不得它结束。年度十佳,2015-12-16 23:28:20
12,刘康康,力荐,一开始以为是个《饮食男女》式的故事，尤其是两部电影的三姐妹还真有点性格的对应性。但看到后来，我认为这部电影的主题其实根本不是讲家庭，而是讲时间的绵延。外婆酿下的梅子酒、外公种下的梅子树、外婆的咖喱鱼饼、浴衣上外婆的味道、海猫食堂的竹荚鱼菜谱、爸爸的沙丁鱼盖饭，人对于绵延的感知，往往就是依靠于这些穿透了时间的味道、气味。人都会长大、都会老去、都会死亡，再漂亮的美女也会成为五十岁的老太婆，再温馨的房子也有人去楼空的一天。但因为我们还能感知到这种时间的绵延，所以人生才没那么孤独和冰冷。,2020-09-11 00:16:02
13,亵渎电影,推荐,镰仓，小镇，海，房子，家，食物，四姐妹，是亲情和生活的美好。有死亡，有别离，有苦乐参半的记忆，四季的风景轮回，小镇的生活点滴，食物是生活的态度，吃就是活着的一部分，很温暖，很治愈，是枝裕和导演越发有大师风范了，这个世界上也只有日本导演可以拍出这么细腻美好的家庭剧。★★★★,2015-12-16 13:33:57
14,安德烈大叔,力荐,多么温柔的海浪，都舍不得打湿衣襟。,2016-01-07 22:03:34
15,维城乱马,力荐,美好生活的范本，即便父母离异工作受挫感情不顺，回到小小的家依然洒扫庭除洗衣做饭，把日子过得云淡风轻波澜不惊。该爬山爬山，该骑车骑车，该赏花赏花，看春樱夏帆秋枫冬雪，保持房间窗明几净内心清洁澄澈。舍不得结束的一部电影，想看着四姐妹一起继续生活下去。,2015-12-27 12:10:26
