序号,评论者,评分,内容,时间
1,米粒,推荐,"""Kiss the most beautiful girl in the world."" 哭了。。。",2009-12-28 22:16:25
2,九尾黑猫,还行,三流剧本，一流演技，主要是看两个主角啦,2008-06-24 13:41:30
3,蛮爷,推荐,那一刻，他闭上了双眼，却敞开了心灵。,2008-07-27 02:32:21
4,刘康康,推荐,两个演员真好。两人在医院里关系慢慢建立的部分挺好的，我喜欢做化疗那段的设计，编剧有心。反而是作为重头戏的实现遗愿部分，写得很一般，临死前的遗愿就是环球旅行实在有点轻浮。还是欠缺些力量。,2014-03-13 23:26:19
5,影志,推荐,Fing the joy in your life...在巴黎吃早饭，去香港吃午餐，溜弯儿到长城飙摩托，插缝跳伞，赛车，开飞机去金字塔和泰姬陵……两个老头去全世界旅游，用剩余不多的时间，去燃烧他们的整个生命。我也想如此来一次生命的释然！“这个故事里总有一些你因为今生没有做过而无限懊恼的事情。”When he closed,2008-02-28 01:08:51
6,Doublebitch,力荐,在电影最后卡特的念白声中，科尔来到女儿家，俯身亲吻美丽的孙女，随后划去“亲吻世上最美的女孩”，我就开始哭，一直哭到电影结束，太温暖了，这个故事仿佛离我很远啊，可我为什么会被感动成这样子。,2011-01-04 22:37:16
7,暖鱼,推荐,不知死焉知生,2008-11-10 01:07:28
8,海心,力荐,笑了三分之二，最后开始落泪。你亲吻了世界上最美的女孩，你们的故事成为别人见过的最美的传奇。,2008-12-28 19:39:09
9,天亮天黑,力荐,渐入佳境，直击心灵。老卡特的问题：在你的生命中，是否有过欢乐？那你这一生，有没有给别人带去快乐？爱德华的经验：想尿别谦让，硬了就快上，屁要小心放！,2011-02-23 23:00:09
10,DH,推荐,我笑了，也哭了,2008-06-22 12:38:48
11,米姐起飞,力荐,喜欢定好小计划然后一一划去的小成就感,2008-03-12 00:30:49
12,艾小柯,推荐,幽默而感人，向肖申克致敬,2008-01-19 16:00:27
13,猫様,推荐,不是很理解卡特的老婆的想法，老公为家鞠躬尽瘁一辈子啥愿望都没实现过，临了想出去放飞一下自我为啥不行？她觉得卡特是要抛弃她和孩子们，还跟爱德华说他死可以接受但不能接受他活着离开我，还说我老公不卖………这听着怎么觉得老公不需要有自我似的,2018-07-31 13:32:27
14,十个斗的眼窝浅,力荐,就算得了癌症，在连走廊都是病床的国内医院，你周围都是治不起病或是医保结算的老百姓。所以别做梦了，你的邻床不会是亿万富翁，有遗愿就好，别列什么清单，都是美好的夙愿而已！虽然感觉片中景点都是电脑特效，但我还是当风景片欣赏了这般美好。也的确被片子感动到了，这就是好莱坞+老戏霸的魅力。,2012-09-07 20:11:26
15,赫恩曼尼,力荐,过早意识到人生的边际，不知是福是祸。人都在承受自己无知的贪婪带来的后果，或是挥霍光阴，或是自怨自艾。很适合在飞机上看的一部片子，心情和飞机的颠簸一起，跟随爱德华的脚步，走遍世界。观看和践行融合一处，让人舒服也让人流泪。,2014-09-21 13:51:13
