序号,评论者,评分,内容,时间
1,礼拜六的两脚兽,力荐,未必有所成才算活着，梦想也不是什么了不起的东西，只喜欢看天、走路、吃披萨的人生也很好。（皮克斯送给社畜社恐的一记摸头,2020-12-16 19:00:15
2,Woody,力荐,"一部极有可能拿到奥斯卡最佳动画长片/最佳原创配乐的电影；
一部迪士尼皮克斯近乎满分的作品；
一个出品23部长篇动画电影，拿下10个奥斯卡奖杯的工作室；
排片2%",2020-12-25 09:35:39
3,懒懒牛,力荐,你以为所有的故事都被讲完了，皮克斯给你讲一个所有元素都见过但前所未有的故事。终于梦想和目标都不再重要，feel it,2020-12-16 15:58:03
4,西楼尘,推荐,理发师用剃刀也能救人危难，造型师用针线也会缝补梦想。枝头掉落的树叶，街头鼓起的排风，地铁里忙碌人群中的歌声，角落里饥肠辘辘时的披萨，当你爱上生活的一刻，就找到了激活生命的火花。原来每天有那么多灵魂经历个体的锤炼，性格的塑造，奋力冲向地球。也会有无数灵魂被生活压垮，迷失进漠漠荒野。,2020-12-26 10:36:47
5,盲忙,推荐,又挤又破的地铁，黄色的出租车，雄壮的布鲁克林大桥，哈德逊河上远眺万家灯火，曼哈顿的秋色，小酒吧里的爵士乐，这就是纽约啊。理想如果都实现了，那然后呢？你会继续问自己，人活着最重要是什么？不是爱，不是恨，不是痛，也不是成功与失败，而是感知，有些人把它看作是庸俗的生活，有人却认为它是活着的全部意义。两首歌太好听了，听完瞬间觉得生活美好了起来。,2020-12-14 18:17:51
6,朝暮雪,力荐,"高纳终于实现了梦想，但他突然发现，他追求了一辈子的东西并不是他想象中那么高大上。
他突然发现，他为了他的爵士梦，错过了太多太多。
他错过了和母亲相处的机会，错过了丽莎……错过了除了爵士之外的一切。
很多电影都是给我们灌输成功学、心灵鸡汤，讲述主角努力追求梦想，最后就实现了梦想。
仿佛在说，只要你努力就能成功，如果你没成功，就说明你还不够努力。
皮克斯却告诉我们，并不是一定要有多么伟大的成就才算活着，就算没有成功又怎样呢？恰恰相反，一味追求成功而忘记了享受生活，这才是最遗憾的。
无论是看天空、走路，还是和家人相处、和爱人看海……只要你用心去感受，这些微不足道的事情其实都十分精彩而美好。
生活的真谛不是什么宏伟的梦想，恰恰就是那些生活中平凡的小事。
追求梦想是最不重要的，看天空、走路、吃披萨才是正事！",2020-12-27 13:26:41
7,石狩川,力荐,惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色。取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。,2020-12-26 12:55:52
8,twhiddleston,力荐,因为Disney+Pixar这样的存在 才使我对现代动画充满向往  我不仅向往那每一帧的画面 更向往那群创造奇迹的地方,2020-10-13 18:02:00
9,疼酱,推荐,“灵魂不会被压垮，压垮你的是生活啊。”三十岁的社畜看的内心澎湃，但为了维持成年人的体面又要在黑暗的影院里哭的默不作声。22迷失后，黑暗内里一句句话砸过来“你做不到”“找不到火花”“这不是目标，这是平庸的生活”和抑郁症发病的自我攻击好像…戳的我好久没缓过来。沉入心流和陷入执念只有一线之隔的设定好赞，基金经理被黑的又搞笑又辛酸XD～但故事和人物塑造还是比《寻梦》的完成度差一点点。,2020-12-14 17:11:00
10,嘟嘟熊之父,推荐,电影好残酷，都说应学会放下，但倘若从未得到过，又有什么资格说不想要？有机会挑拣快乐的人都是曾爬上巅峰看过风景的人，而平凡如我们，只能将脚下俯首即是的通通当作快乐，欺骗自己生命已足够美好。决定笑着告别，将生命拱手相让，不是爱的传递，而是心已死、梦已碎。一部纯粹的情绪电影：如果得到了，再多表达一点都会破坏这种得到；如果没有得到，不会寻找原因，只会感到遗憾。,2020-12-25 16:57:33
11,Mr. Infamous,力荐,格外理解二十二。小时候被名人励志，长大才发现那真是一种无垠的压力，万里挑一的人以巨大的差距提醒你越来越是个失败者，你永远不够好。但观星赏月，听虫嗅花，也是人生最无用又最有用的修行，生活过得越来越糟心，不贪这星星点点的美好，撑一撑，顶一顶，我们这些庸碌之辈，早该熄灭了吧。颓败了一整年，我太感激这部温热的电影了，依然有绝佳的想象力供人移情，真想陪他们，在忘我或迷失时，哭哭啼啼一回。活着真的很不如意，但还能活着，真的很幸运。能跟所爱之人来看，也很幸运。影院这低排片真是叫人不齿。,2020-12-26 12:31:08
12,可露丽,还行,3.5。凡尔赛动画，男主体验了得尝所愿，享受了人生巅峰，回头规劝大家平平淡淡才是真，能活着就是美好。？？？,2020-12-26 15:33:19
13,谢飞导演,还行,除夕临近，看了这部“心灵鸡汤”式的皮克斯动画片，观感还算愉快，只是老套过多，欠缺新意。So so!,2020-12-31 08:34:35
14,翻滚吧！蛋堡,还行,冷漠脸看完，珍惜每一刻这种事还需要费这么大一圈力气讲吗？,2020-12-28 00:22:04
15,阿德,力荐,皮克斯献给“打工人”的年度治愈之作，这才是真正适合圣诞节和年底看的心灵大片。如果让我选一部电影跨年，我会推荐《soul》，它不但让我想要珍惜那些生命中的小美好，更是让我想要感谢那些生命中照亮过我的人和事。以及不得不说，音乐太适合灵魂这个主题了，全片的音乐太动人了。,2020-12-25 09:54:59
