序号,评论者,评分,内容,时间
1,同志亦凡人中文站,力荐,吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！,2014-10-20 17:17:46
2,綦,未评分,他的人格实在是个竞争市场。由此可见，寡头和垄断未尝不好。,2009-12-22 21:09:41
3,杨迪,力荐,哇！我是那个被剧透了也觉得好看的人，我好厉害！,2015-05-29 20:43:05
4,亚比煞,还行,又一部向阿婆《无人生还》致敬的电影，但是这种精神病题材很好写，就是怎么玄乎怎么来，根本不需要有逻辑，不需要交代凶手怎么装炸弹怎么把尸体弄没了的。不像阿婆写侦探小说就一定得把场给圆清楚，这样看来编剧的水平就高下立现了。,2013-08-20 13:01:50
5,谋杀游戏机,推荐,医生的治疗方案是让不同人格互相残杀以产生幸存者，但残杀所诞生的幸存者就不可能是最优人格,2010-01-28 17:58:03
6,树木希凉,推荐,救命啊，金牛座遭遇大屠杀...,2010-08-08 16:13:30
7,神探夏老师,力荐,我是在电视上看这个片子的，之前有主持人介绍，然后主持人来一句，这是一部和人格分裂有关的电影，然后我看的时候心中就一直在默默咒骂这个主持人，真是实力剧透,2016-01-23 17:20:20
8,viking,推荐,"恐怖？剧情？科幻？探案？四不像！
我也想搞上十个自己，大家一起玩dota",2008-03-07 22:58:51
9,理想多钱一斤啊,推荐,最不可能的那个人永远是最可能的,2011-01-22 14:03:54
10,影子的影子,推荐,精妙绝伦的剧本。大量的细节描写使得影片非常耐人寻味，切换焦点时镜头的微小变动更是非常隐喻。结局倒不出乎我的意料，这种片子到最后肯定会回头给观众一枪。编剧太牛了，前后呼应的巧妙简直让人佩服得五体投地。即使是6年前的片子，如今看来也生猛十足。,2009-10-08 17:27:15
11,苏比,力荐,没办法不打五星啊，虽然不到一半就猜到了结局。,2009-07-01 16:09:18
12,Philharmania,推荐,对阿婆的《无人生还》的一个相当有才的致敬。,2010-02-23 01:12:03
13,X,力荐,如果放在现在看的话可能打分会下降2分，可是放在2003年，可以说是超前了,2017-04-15 23:18:29
14,Η²,力荐,本以为是娱乐片，却是一部精彩的悬疑片，和《记忆碎片》一样，不到结尾不见真相。前段或许有些老套，但进行到中段的解谜阶段就很紧张了，后面的真相揭开后，又将剧情推向一个让人瞠目结舌的高潮，难得的是在结尾，居然再次给了观众心灵一记刺痛。善与恶，原本就是一体的。 PS:1.以罪犯幻想之情节名义给剧本许多地方逻辑推理不足找到了借口2.Mhotel又有何寓意呢3.对影片营造的黑夜，阴冷，潮湿氛围很中意last.每个人或许都有多重人格，后怕。  H2  2008.7.12 03:38,2008-07-12 03:54:50
15,墨一,力荐,大脑完全被欺骗了！汽车爆炸前是一直坚信是小男孩干的，他母亲是因为他的动作后退被撞，也只有他进过母亲的房间，新婚女在厕所和外面的人比力气赢了说明对方肯定不是成年人或者是女性，男孩的父亲是看到男孩才冲过去被撞，说明男孩之前不在那。但这些猜测都在爆炸后被推翻了，直到结尾才恍然大悟。主人格就是那具冰冻尸体，汽车旅馆就是剩下11人格的格斗场，每个人都是你，都是我，是那个人儿时与成长记忆遇到不同人的缩影与集合，谁都出不去，谁都进不来。结尾细思极恐，善良已死，邪恶觉醒，吟唱着诗的同时，我已确定要走向地狱,2023-01-02 09:30:23
