序号,评论者,评分,内容,时间
1,豆丁,推荐,吃货少女的自我修养，这种文艺腔调的东西看看就好，离农村的现实生活差距太大，真的要去农村干几天农活，我看没有几个能撑下来的。,2015-04-05 01:31:15
2,老晃,推荐,昨天看这个看一半看不下去了，这么美的电影，我看着心里特别难过，为什么，中国电影票房都那样了，审美还那样，什么时候才能不吃粗粮，也认认真真做顿可心的家常菜呢。,2015-04-17 18:02:52
3,榜上有名猫,推荐,（桥本爱 × 村妹纸 × 天然呆 × 心独白 × 野食谱 × 闲生活 × 农家乐 + 万变云 + 清爽风 + 绿油油 + 湿淋淋 + 小动物）/ 无剧情 = 抗抑郁特效治愈片,2015-03-05 16:43:13
4,南笙,力荐,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2015-06-04 14:03:41
5,嘟嘟熊之父,力荐,劳作令人无暇烦恼，片中的人物时而离凡世很远，时而又触手可及。我们有舌尖上的中国，通篇累述奉献、感恩，手艺传承和文化气节，却没人教导我们劳作本身的意义。一屋一田一人食，已是最令人羡慕的事。,2015-04-24 12:11:46
6,黄青蕉,力荐,桥本哥演出了吃货的本心，一边捧着小鸭子说好可爱下一秒就开始平心静气的磨刀嘴角含笑的杀鸭肢解，大写的帅。,2016-01-20 11:45:31
7,巴喆,力荐,世外桃源啊！单单一个人洗衣做饭在乡村过归隐生活，这浮躁如我，定是守不住那寂寞空虚冷。不过这里的乡间，实在是太清新了！单单这一片绿色，就在心里变的十足清澈。还有这美食美景美女，一脸天然呆、内心白，悠闲自然的状态，还有农家乐、草木青，哎哟，真心是奢望啊！8.5,2015-04-11 10:26:53
8,一 | 一,力荐,清新的画面配上无机质的声音演奏一曲乡间农作与美食的小调，琐碎日常加回忆这种不经意的生活感（可能是错觉）让人欲罢不能。故事有一个逃避的开头愿会有面对的结局。,2015-02-02 13:15:18
9,孙二狗,推荐,烤面包，做酸米酒，做伍斯特酱油，做胡颓子果酱，巧克力榛子酱，雨久花凉菜，烤红点鲑鱼，红点鲑鱼汤，西红柿拌面，炒通草果皮，核桃饭，糖煮板栗，烤地瓜干，烤鸭子，煨炖胡萝卜，嫩炒菠菜……全是大自然的馈赠，也全是自己辛勤劳作的回报！,2015-04-09 22:21:59
10,T.V.Zoe ி,推荐,事已至此，先吃飯吧。時已至此，先吃飯吧。詩意至此，先吃飯吧。【所有的美景都在意料之中，出乎意料的是配樂，終於不再只是是吉他或者尤克里里或者鋼琴或者手風琴了~電電的帶感】,2015-03-17 00:42:57
11,水桶艾,推荐,其实第一次看的时候感觉是完全迎合现在年轻人流行而且很装，但是看完又闷又没有高潮的这样一部电影后，反而会一直在睡觉前想再翻翻，我喜欢这种可以不断重复看的电影。可能是潜意识的对电影的这种生活状态有些羡慕，也可能是因为人累的时候就很想回归这种最基本的需求和生活状态,2015-05-26 07:41:08
12,Yuyii,力荐,这种片子看完就对生活重燃希望，然后怒买一堆餐具什么的...,2017-04-03 22:02:00
13,沈书枝,推荐,会自己动手做四时农活的回乡，才是真回乡。不过日本乡下的生活条件，又要远远便利于我国啊。,2015-04-24 16:57:29
14,起床，吃饭,力荐,太喜欢了，以后我要做农民。简直就是老家以前的景象，油然的亲切感。,2015-09-07 21:01:25
15,栗,推荐,当成舌尖上的日本看了。,2015-04-25 18:38:49
