序号,评论者,评分,内容,时间
1,小转铃,推荐,飞屋环游记前传,2010-01-29 20:21:16
2,眠去,推荐,我会永远记住你。爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2008-05-15 10:21:54
3,米姐起飞,力荐,1.先入为主是王道。2.等人不要等過7年。,2008-08-24 17:50:37
4,影志,推荐,俗套的好看。“爱情没有那么多借口，如果最终没能在一起，只能说明爱的不够。”,2008-02-04 18:46:14
5,HalloZen,力荐,英俊的木匠啊，一見鍾情的表白竟然能支撐整個一生。如果在現實里能有人長情到這地步，哪怕是同性之間的相濡以沫，也值奮力擁抱死去時緊握雙手。她恢復記憶的時候不超過五分鐘，推開他的一刹那，比任何一次的分別還要惹人眼淚。最後算是圓滿，你不會失去什麽，在蹣跚、年邁、冰冷軀體，舊時的烈火中。,2010-05-30 17:03:30
6,私享史,力荐,哭了！他把那房子做了疗养院。James Garner、Sam Shepard的演技哇！我喜欢Sam演的那个爸爸！,2007-01-19 23:22:54
7,撒旦的表妹,力荐,最触动人的，不是17岁的初恋故事，也不是7年后的再次重逢，而是相守一生一直到老，互相约定来生之后握紧双手一起离开人世。如果只有前面的情节这只是一个普通的爱情故事，但是因为有最后这部分，好吧我被震撼到了，爱能创造奇迹。,2015-04-26 22:29:03
8,pinking。墨白,推荐,为了那一池子的天鹅,2010-03-24 16:46:32
9,shu,力荐,Ryan Gosling 就是爱情理想主义的化身。。。,2011-08-15 19:34:18
10,二令目,力荐,Lon很好，Allie也是真的爱他，只是Lon太正常了，就像Allie晚餐牛排配红酒一样平常。但如果是Noah，那就是平静生活里的诗意，和被耽误迁徙、聚在湖中的天鹅一样充满意外又美好。爱情就是这样地充满矛盾，什么都匹配得刚刚好，反倒是很难产生爱情。,2022-06-10 22:57:45
11,朝暮雪,推荐,这哪是穷小子和白富美的爱情，至少诺亚还有一套房子。,2014-08-28 02:38:11
12,狷介有乌青,推荐,爱比记忆更长久，谁能如你般浪漫一生。,2010-12-30 21:55:52
13,Q。,力荐,I'll be seeing u.. ★★★★★,2008-05-18 01:05:20
14,Thanks God,还行,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2009-03-12 12:23:05
15,布宜諾斯,力荐,这才是爱情呀,2007-07-13 22:11:38
